"last_name","frequency"
"Baba                          ","226"
"Coorg                         ","223"
"Gelosh                        ","223"
"Farris                        ","222"
"Sudbeck                       ","222"
"Adachi                        ","221"
"Osgood                        ","220"
"Masada                        ","218"
"Neiman                        ","218"
"Mandell                       ","218"
"Boudaillier                   ","217"
"Wendorf                       ","217"
"Mahnke                        ","216"
"Pettis                        ","216"
"Solares                       ","216"
"Cummings                      ","216"
"Maksimenko                    ","215"
"Collette                      ","215"
"Birjandi                      ","215"
"Emmart                        ","215"
"Kulisch                       ","215"
"Rosaz                         ","214"
"Scallan                       ","214"
"Boguraev                      ","214"
"Pokrovskii                    ","214"
"Siksek                        ","213"
"Stifter                       ","213"
"Wolniewicz                    ","213"
"Morrey                        ","213"
"Herber                        ","212"
"Peek                          ","212"
"Rabehasaina                   ","212"
"Garrabrants                   ","212"
"Swen                          ","212"
"Siepmann                      ","212"
"Pramanik                      ","212"
"Rajcani                       ","212"
"Taubman                       ","212"
"Ventosa                       ","211"
"Gente                         ","211"
"Kamber                        ","211"
"Asser                         ","211"
"Barriga                       ","211"
"Kitsuregawa                   ","211"
"Ghemri                        ","211"
"Cangellaris                   ","211"
"Driscoll                      ","210"
"Luce                          ","210"
"Redmiles                      ","210"
"Schaaf                        ","210"
"Bolsens                       ","210"
"Lunt                          ","209"
"Gerlach                       ","209"
"Lamparter                     ","209"
"Flowers                       ","209"
"Gewali                        ","209"
"Chenney                       ","209"
"Malabarba                     ","209"
"Khasidashvili                 ","209"
"Serra                         ","209"
"Zuberek                       ","209"
"Jenevein                      ","208"
"Panienski                     ","208"
"Cesareni                      ","208"
"Aloia                         ","208"
"Lowrie                        ","208"
"Gecsei                        ","208"
"Akazan                        ","207"
"Angelopoulos                  ","207"
"Lamba                         ","207"
"Garnier                       ","207"
"Hebert                        ","206"
"Bondorf                       ","206"
"Foote                         ","206"
"Perng                         ","206"
"Duclos                        ","206"
"Chimia                        ","206"
"Braunmuhl                     ","206"
"Gaughan                       ","206"
"Panangaden                    ","205"
"Bennet                        ","205"
"Aamodt                        ","205"
"Siprelle                      ","205"
"DeMori                        ","205"
